CVE-2022-39046,__vsyslog_internal,libc.so.6,libc6_2.38-13,24887,12135
CVE-2022-37434,inflate,libz.so.1,zlib1g_1:1.3.dfsg%2Breally1.3.1-1,11461,10199
CVE-2022-1587,jit_compile,libpcre2-8.so.0,libpcre2-8-0_10.42-4%2Bb1,5866,2567
CVE-2023-32611,g_variant_serialise,libglib-2.0.so.0,libglib2.0-0t64_2.80.3-1,5049,4672
CVE-2023-2603,_libcap_strdup,libcap.so.2,libcap2_1:2.66-5,4483,32
CVE-2023-43787,XCreateImage,libX11.so.6,libx11-6_2:1.8.7-1%2Bb1,4302,2839
CVE-2022-27404,sfnt_init_face,libfreetype.so.6,libfreetype6_2.13.2+dfsg-1+b4,3768,3260
CVE-2023-0215,BIO_new_NDEF,libcrypto.so.3,libssl3t64_3.2.2-1,3481,4
CVE-2023-2804,start_pass_dpost,libjpeg.so.62,libjpeg62-turbo_1:2.1.5-3,3447,3447
CVE-2022-40674,internalEntityProcessor,libexpat.so.1,libexpat1_2.6.2-1,3379,2716
CVE-2022-42010,_dbus_validate_signature_with_reason,libdbus-1.so.3,libdbus-1-3_1.14.10-4%2Bb1,2657,2273
CVE-2022-42898,krb5_pac_parse,libkrb5.so.3,libkrb5-3_1.21.2-1,2486,11
CVE-2024-26458,gss_krb5int_make_seal_token_v3,libgssapi_krb5.so.2,libgssapi-krb5-2_1.21.2-1,2406,2201
CVE-2024-0567,_gnutls_sort_clist,libgnutls.so.30,libgnutls30t64_3.8.5-4,2146,1828
CVE-2024-2511,ssl_update_cache,libssl.so.3,libssl3t64_3.2.2-1,1853,1387
CVE-2022-45873,source_disconnect,libudev.so.1,libudev1_256.1-2,1842,1345
CVE-2022-44638,pixman_sample_floor_y,libpixman-1.so.0,libpixman-1-0_0.42.2-1+b1,1579,1360
CVE-2024-25062,xmlTextReaderRead,libxml2.so.2,libxml2_2.12.7%2Bdfsg-3,1496,242
CVE-2022-25310,fribidi_remove_bidi_marks,libfribidi.so.0,libfribidi0_1.0.13-3%2Bb1,1438,5
CVE-2024-28182,nghttp2_session_mem_recv2,libnghttp2.so.14,libnghttp2-14_1.62.1-1,1324,1208
CVE-2023-48795,_libssh2_transport_send,libssh2.so.1,libssh2-1t64_1.11.0-5,1236,1057
CVE-2023-38039,Curl_pp_readresp,libcurl-gnutls.so.4,libcurl3t64-gnutls_8.8.0-2,872,752
CVE-2023-1999,EncodeAlphaInternal,libwebp.so.7,libwebp7_1.4.0-0.1,755,602
CVE-2023-29491,_nc_read_termtype,libtinfo.so.6,libtinfo6_6.5-2,729,729
CVE-2023-52356,TIFFReadRGBAStripExt,libtiff.so.6,libtiff6_4.5.1%2Bgit230720-4,663,73
CVE-2022-33065,mat4_read_header,libsndfile.so.1,libsndfile1_1.2.2-1+b2,486,182
CVE-2024-2236,rsa_decrypt,libgcrypt.so.20,libgcrypt20_1.10.3-3,366,282
CVE-2022-47022,hwloc_linux_set_tid_cpubind,libhwloc.so.15,libhwloc15_2.11.0-2,330,330
CVE-2022-1615,generate_secret_buffer,libgenrand-private-samba.so.0,samba-libs_2:4.20.2+dfsg-5,259,90
CVE-2024-25260,arm_machine_flag_name,libdw.so.1,libdw1t64_0.191-1+b1,255,91
CVE-2023-38473,avahi_alternative_host_name,libavahi-common.so.3,libavahi-common3_0.8-13%2Bb2,255,4
CVE-2023-43789,xpmNextWord,libXpm.so.4,libxpm4_1:3.5.17-1+b1,211,162
CVE-2023-22745,Tss2_RC_Decode,libtss2-rc.so.0,libtss2-rc0t64_4.1.3-1,144,144
CVE-2022-36227,__archive_write_allocate_filter,libarchive.so.13,libarchive13t64_3.7.2-2.1,132,124
CVE-2023-41105,_Py_normpath,libpython3.12.so.1.0,libpython3.12t64_3.12.4-1,129,129
CVE-2023-45853,zipOpenNewFileInZip4_64,libminizip.so.1,libminizip1t64_1:1.3.dfsg%2Breally1.3.1-1,128,11
